SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,Package,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,SaleEndDate,RebateToCustomer,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredSKU1,RequiredQty1,RequiredDescription1,RequiredSKU2,RequiredQty2,RequiredDescription2,Active2,WB01 011 3600 US
4910 500 9600,Foam Nozzle,T,0,T,0,STIHL,,,T,T,T,,,,29.99,,,, ,0,0,T,,,,,,,,1055,,,,T,,T,,,,,,,,,,,,,,,,,,,
4950 790 5400,Hose Cassette Bracket,T,0,T,0,STIHL,,,T,T,T,,,,11.99,,,, ,0,0,T,,,,,,,,1056,,,,T,,T,,,,,,,,,,,,,,,,,,,
7010 871 0010,Wheel Kit with Support Tube,T,0,T,0,STIHL,,,T,T,T,,,,101.99,,,, ,0,0,T,,,,,,,,1057,,,,T,,T,,,,,,,,,,,,,,,,,,,
7010 871 0189,Nozzle Assembly,T,0,T,0,STIHL,,,T,T,T,,,,25.49,,,, ,0,0,T,,,,,,,,1058,,,,T,,T,,,,,,,,,,,,,,,,,,,
EA08 430 7901,CM12 Charging Circuit,T,0,T,0,STIHL,,,T,T,T,,,,1289.99,,,, ,0,0,T,,,,,,,,1059,,,,T,,T,,,,,,,,,,,,,,,,,,,
GA01 490 1700,Holster,T,0,T,0,STIHL,,,T,T,T,,,,32.99,,,, ,0,0,T,,,,,,,,1060,,,,T,,T,,,,,,,,,,,,,,,,,,,
HA01 007 1000,Support Mounting Foot,T,0,T,0,STIHL,,,T,T,T,,,,32.99,,,, ,0,0,T,,,,,,,,1061,,,,T,,T,,,,,,,,,,,,,,,,,,,
LA02 820 5000,"20"" Shaft Extension",T,0,T,0,STIHL,,,T,T,T,,,,44.99,,,, ,0,0,T,,,,,,,,1062,,,,T,,T,,,,,,,,,,,,,,,,,,,
SA03 007 1000,SEA 20 Micro Cleaning Kit,T,0,T,0,STIHL,,,T,T,T,,,,16.99,,,, ,0,0,T,,,,,,,,1063,,,,T,,T,,,,,,,,,,,,,,,,,,,
SA03 080 1900,SEA 20 Filter,T,0,T,0,STIHL,,,T,T,T,,,,14.99,,,, ,0,0,T,,,,,,,,1064,,,,T,,T,,,,,,,,,,,,,,,,,,,
TB01 790 0702,Adapter / Mounting Kit,T,0,T,0,STIHL,,,T,T,T,,,,176.99,,,, ,0,0,T,,,,,,,,1065,,,,T,,T,,,,,,,,,,,,,,,,,,,
WB01 710 6000,Mower Blades (Set of 2),T,0,T,0,STIHL,,,T,T,T,,,,85.99,,,, ,0,0,T,,,,,,,,1066,,,,T,,T,,,,,,,,,,,,,,,,,,,
