SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,WB01 011 3600 US,WB01 011 3605 US,WB02 011 3610 US,WB03 011 3600 US,WB03 011 3610 US,WB03 011 3611 US,WB04 011 3600 US,WB04 011 3607 US,WB04 011 3605 US,WB04 011 3610 US,WB04 011 3615 US,WB05 011 3600 US,WB05 011 3605 US,WB05 011 3610 US,WB05 011 3616 US,WB05 011 3615 US,WA81 011 8400 US,WA81 011 8410 US,WA81 011 8420 US,WA04 011 8600 US,WA04 011 8610 US,WA04 011 8620 US,RequiredModel1,RequiredSKU1,RequiredQty1,RequiredDescription1,RequiredModel2,RequiredSKU2,RequiredQty2,RequiredDescription2
WB00 007 1045,"Striping Kit (60"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Striping Kit (60"" Deck)",42.99,,, ,0,0,T,,,,,,,,910,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , , , , , , ,T,T, , , , , , , , , , , , ,, , , ,
WB00 007 1050,"Mulching Kit (72"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Mulching Kit (72"" Deck)",213.99,,, ,0,0,T,,,,,,,,911,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , , , , , , , , ,T,T,T, , , , , , , , , ,, , , ,
WB00 007 1055,"Striping Kit (72"" Deck)",T,100,T,1,STIHL,Attachments,,T,T,T,,,"Striping Kit (72"" Deck)",53.99,,, ,0,0,T,,,,,,,,912,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , , , , , , , , ,T,T,T, , , , , , , , , ,, , , ,
WB00 007 1060,Service Jack Mounting Kit,T,25,T,0.25,STIHL,Attachments,,T,T,T,,,Service Jack Mounting Kit,32.99,,, ,0,0,T,,,,,,,,913,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , ,T,T,T,T,T,T,T,T,T,T,T,T,T, , , , , , , , , ,, , , ,
WB00 007 1090,Suspension Seat Kit,T,100,T,1,STIHL,Attachments,,T,T,T,,,Suspension Seat Kit,641.99,,, ,0,0,T,,,,,,,,914,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , ,, , , ,
WB00 700 9700,6.5 Bushel 2-Bag M.C.S. w/Front Weights,T,100,T,1,STIHL,Attachments,RIDING,T,T,T,Handheld,F,6.5 Bushel 2-Bag M.C.S. w/Front Weights,748.99,,, ,0,0,T,,,,,,,,879,,Attachment,Attachment,T,,F,,,,,,,,,,,,T,T, , , , , , , , , , , , , , , , , , , , ,WB01 011 3600 US,WB00 710 7600,1,Mower Boot Kit,WB01 011 3605 US,WB00 760 0500,1,Bagging Blower
WB00 700 9706,6.5 Bushel 2-Bag Collection System,T,100,T,1,STIHL,Attachments,RIDING,T,T,T,Handheld,F,6.5 Bushel 2-Bag Collection System,534.99,,, ,0,0,T,,,,,,,,880,,Attachment,Attachment,T,,F,,,,,,,,,,,, , ,T, , , , , , , , , , , , , , , , , , , , ,WB00 760 0505,1,Bagging Blower, , , ,
WB00 700 9711,6.5 Bushel 2-Bag Hard Top M.C.S. w/Blower,T,150,T,1.5,STIHL,Attachments,RIDING,T,T,T,Handheld,F,6.5 Bushel 2-Bag Hard Top M.C.S. w/Blower,2139.99,,, ,0,0,T,,,,,,,,881,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , ,T, , , , , , , , , , , , , , , , , , , , , ,, , , ,
WB00 700 9716,10 Bushel 3-Bag Hard Top M.C.S. w/Blower,T,150,T,1.5,STIHL,Attachments,RIDING,T,T,T,Handheld,F,10 Bushel 3-Bag Hard Top M.C.S. w/Blower,2139.99,,, ,0,0,T,,,,,,,,882,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , ,T,T, , , , , , , , , , , , , , , , , , , ,, , , ,
WB00 700 9720,10 Bushel 3-Bag Soft Top M.C.S. w/Blower,T,150,T,1.5,STIHL,Attachments,RIDING,T,T,T,Handheld,F,10 Bushel 3-Bag Soft Top M.C.S. w/Blower,2674.99,,, ,0,0,T,,,,,,,,883,,Attachment,Attachment,T,,F,,,,,,,,,,,, , , , , , ,T,T,T, , , , , , , , , , , , , , , , ,, , , ,
